@relation 'Horse Colic'

@attribute surgery {no,yes}
@attribute age {adult,young}
@attribute hospital_number numeric
@attribute rectal_temp numeric
@attribute pulse numeric
@attribute respiratory_rate numeric
@attribute temp_of_extremities {cool,normal,cold,warm}
@attribute peripheral_pulse {reduced,normal,absent,increased}
@attribute mucous_membrane {pale_cyanotic,pale_pink,dark_cyanotic,normal_pink,bright_red,bright_pink}
@attribute capillary_refill_time {more_3_sec,less_3_sec,3}
@attribute pain {extreme_pain,mild_pain,depressed,severe_pain,alert}
@attribute peristalsis {absent,hypomotile,hypermotile,normal}
@attribute abdominal_distention {severe,slight,none,moderate}
@attribute nasogastric_tube {none,slight,significant}
@attribute nasogastric_reflux {more_1_liter,none,less_1_liter}
@attribute nasogastric_reflux_ph numeric
@attribute rectal_exam_feces {decreased,absent,normal,increased}
@attribute abdomen {distend_large,other,normal,firm,distend_small}
@attribute packed_cell_volume numeric
@attribute total_protein numeric
@attribute abdomo_appearance {cloudy,serosanguinous,clear}
@attribute abdomo_protein numeric
@attribute outcome {died,euthanized,lived}
@attribute surgical_lesion {no,yes}
@attribute lesion_1 {0,300,400,1111,1124,1400,2111,2112,2113,2124,2205,2206,2207,2208,2209,2300,2305,2322,3025,3111,3112,3113,3115,3124,3133,3205,3207,3209,3300,3400,4111,4122,4124,4205,4206,4207,4300,5000,5110,5111,5124,5205,5206,5400,6111,6112,6209,7111,7113,7209,7400,8300,8400,8405,9000,9400,11124,11300,11400,12208,21110,31110,41110}
@attribute lesion_2 {0,1400,2208,3111,3112,3205,6112,7111}
@attribute lesion_3 {0,2209}
@attribute cp_data {no,yes}

@data
yes,adult,529424,37.8,48,28,normal,normal,normal_pink,more_3_sec,alert,normal,none,slight,?,?,normal,normal,46,5.9,cloudy,7,lived,no,0,0,0,yes
yes,adult,534519,37.1,84,40,cool,reduced,dark_cyanotic,less_3_sec,depressed,absent,severe,significant,more_1_liter,2,absent,distend_large,75,81,?,?,euthanized,no,1400,0,0,no
no,adult,535246,?,80,32,cool,reduced,bright_pink,less_3_sec,depressed,hypomotile,moderate,slight,none,?,decreased,?,50,80,?,?,lived,yes,0,0,0,no
yes,adult,534115,38.2,48,?,normal,reduced,pale_pink,less_3_sec,mild_pain,absent,severe,none,less_1_liter,2,absent,distend_large,42,71,?,?,lived,yes,3111,0,0,no
no,adult,530001,38,44,12,warm,normal,pale_pink,less_3_sec,mild_pain,absent,moderate,none,more_1_liter,6.5,normal,distend_small,33,6.5,?,?,died,yes,2209,0,0,no
yes,adult,529272,38.3,132,?,?,reduced,dark_cyanotic,more_3_sec,depressed,absent,slight,slight,less_1_liter,6.2,absent,distend_small,57,8,?,5.2,lived,yes,2112,0,0,yes
no,adult,535314,38.7,48,24,?,?,?,?,alert,hypermotile,?,none,none,?,normal,?,34,63,?,?,lived,no,0,0,0,no
no,adult,533793,38.9,44,14,cool,normal,normal_pink,less_3_sec,depressed,hypomotile,slight,?,?,?,?,other,33,64,?,?,lived,no,0,0,0,no
yes,adult,529399,39.3,?,?,cold,reduced,dark_cyanotic,more_3_sec,severe_pain,absent,slight,none,less_1_liter,4,absent,distend_small,75,?,serosanguinous,4.3,died,yes,2207,0,0,yes
yes,adult,533836,?,100,?,cool,reduced,pale_cyanotic,more_3_sec,?,absent,severe,slight,none,2,?,?,68,64,serosanguinous,2,lived,yes,2209,0,0,no
no,adult,528804,38.6,48,20,cool,normal,normal_pink,less_3_sec,alert,hypomotile,slight,slight,none,?,decreased,other,50,7.3,clear,?,lived,no,3111,0,0,yes
no,adult,535163,38.8,48,40,normal,normal,pale_pink,less_3_sec,mild_pain,hypomotile,severe,slight,?,?,?,distend_large,41,65,?,?,lived,yes,4124,0,0,no
no,adult,528247,38,48,20,cool,reduced,pale_cyanotic,less_3_sec,alert,absent,slight,slight,?,5,?,other,49,8.3,clear,?,lived,no,400,0,0,yes
no,adult,528996,38.6,52,20,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,slight,none,none,?,normal,firm,36,6.6,clear,5,lived,no,0,0,0,yes
yes,adult,533928,37.8,60,24,normal,?,pale_pink,more_3_sec,?,absent,severe,slight,less_1_liter,2,?,distend_large,52,75,?,?,euthanized,yes,2205,0,0,no
no,adult,528248,38,42,40,cool,normal,normal_pink,less_3_sec,mild_pain,hypomotile,none,?,?,?,?,?,?,?,?,?,lived,no,3111,0,0,no
no,adult,528134,?,?,12,normal,normal,bright_pink,less_3_sec,depressed,hypermotile,slight,significant,none,?,normal,firm,44,7.5,cloudy,?,lived,no,0,0,0,yes
yes,adult,527916,?,?,?,?,?,?,?,severe_pain,?,?,none,none,?,?,distend_large,35,58,cloudy,1,lived,yes,4205,0,0,no
yes,adult,530431,38.3,42,24,?,?,?,less_3_sec,?,?,?,?,?,?,?,?,40,8.5,?,?,died,yes,7113,0,0,no
no,adult,535176,39.5,60,10,cool,?,?,more_3_sec,mild_pain,hypomotile,slight,slight,none,?,decreased,?,38,56,clear,?,lived,no,0,0,0,no
yes,adult,533942,38,66,20,normal,reduced,pale_pink,less_3_sec,extreme_pain,hypomotile,none,none,none,?,decreased,?,46,46,serosanguinous,2,euthanized,yes,6209,0,0,no
yes,adult,528523,38.7,76,?,normal,normal,bright_red,more_3_sec,mild_pain,hypomotile,slight,slight,more_1_liter,?,absent,distend_small,50,8,?,?,lived,yes,2208,0,0,yes
yes,adult,534925,39.4,120,48,?,?,bright_red,less_3_sec,?,hypomotile,moderate,none,?,?,absent,?,56,64,clear,2,euthanized,no,1400,0,0,no
yes,adult,527916,38.3,40,18,normal,normal,normal_pink,less_3_sec,mild_pain,hypermotile,none,?,?,?,increased,normal,43,5.9,clear,?,lived,no,0,0,0,yes
no,adult,528299,?,44,24,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,none,slight,none,?,?,normal,?,6.3,?,?,lived,no,3111,0,0,no
yes,adult,530254,38.4,104,40,normal,normal,pale_pink,less_3_sec,depressed,absent,slight,slight,less_1_liter,6.5,?,distend_small,55,8.5,?,?,lived,yes,2124,0,0,no
yes,adult,535085,?,65,24,?,?,?,more_3_sec,extreme_pain,?,severe,significant,none,?,?,distend_large,?,?,?,?,euthanized,yes,3205,0,0,no
no,adult,532985,37.5,44,20,normal,normal,pale_pink,less_3_sec,?,hypermotile,none,?,?,?,normal,?,35,7.2,?,?,lived,no,0,0,0,no
no,adult,527677,39,86,16,cool,reduced,bright_red,?,mild_pain,hypomotile,moderate,?,more_1_liter,?,?,?,68,5.8,serosanguinous,6,died,yes,5400,0,0,yes
yes,adult,535292,38.5,129,48,cool,reduced,pale_pink,less_3_sec,depressed,absent,moderate,none,less_1_liter,2,?,?,57,66,serosanguinous,2,lived,yes,2206,0,0,no
yes,adult,529729,?,104,?,cool,reduced,bright_red,more_3_sec,depressed,absent,moderate,?,less_1_liter,?,absent,distend_small,69,8.6,cloudy,3.4,died,yes,2207,0,0,yes
no,adult,518476,?,?,?,cool,absent,dark_cyanotic,?,severe_pain,?,severe,?,?,?,?,?,?,?,?,?,died,yes,3400,0,0,yes
yes,adult,527929,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,lived,yes,2208,0,0,no
yes,adult,535130,38.2,60,30,normal,normal,pale_pink,less_3_sec,mild_pain,hypomotile,none,slight,none,?,decreased,other,48,66,?,?,lived,yes,6112,0,0,no
yes,adult,523190,?,68,14,?,?,pale_cyanotic,less_3_sec,severe_pain,?,?,?,none,4.3,?,?,?,?,cloudy,2.8,died,yes,4205,0,0,yes
yes,adult,533968,?,60,30,cool,reduced,pale_cyanotic,more_3_sec,extreme_pain,absent,severe,none,none,?,absent,?,45,70,serosanguinous,2,lived,yes,6111,3111,0,no
no,adult,528151,38.5,100,?,cool,reduced,bright_red,more_3_sec,severe_pain,hypomotile,severe,slight,none,?,absent,distend_large,?,?,?,?,euthanized,no,1111,0,0,yes
yes,adult,530239,38.4,84,30,cool,normal,bright_red,more_3_sec,severe_pain,hypomotile,moderate,slight,less_1_liter,6.5,absent,distend_small,47,7.5,serosanguinous,?,died,yes,2300,0,0,no
no,adult,528305,37.8,48,14,?,?,normal_pink,less_3_sec,mild_pain,?,slight,none,less_1_liter,5.3,normal,?,35,7.5,?,?,lived,no,3111,0,0,yes
yes,adult,5279822,38,?,24,cool,reduced,dark_cyanotic,more_3_sec,extreme_pain,?,severe,none,none,?,?,?,68,7.8,?,?,died,yes,2205,0,0,no
no,adult,534857,37.8,56,16,normal,normal,bright_pink,less_3_sec,depressed,hypermotile,none,slight,none,?,normal,?,44,68,clear,1,lived,no,0,0,0,no
no,adult,534053,38.2,68,32,warm,increased,bright_pink,less_3_sec,alert,hypermotile,none,significant,none,?,normal,normal,43,65,?,?,lived,no,0,0,0,no
yes,adult,534833,38.5,120,60,cold,reduced,dark_cyanotic,more_3_sec,?,hypomotile,?,?,?,?,?,?,54,?,?,?,lived,yes,5400,0,0,no
yes,adult,5278331,39.3,64,90,warm,reduced,normal_pink,less_3_sec,?,hypomotile,none,none,more_1_liter,?,?,?,39,6.7,?,?,lived,yes,21110,0,0,no
yes,adult,527365,38.4,80,30,cold,reduced,normal_pink,less_3_sec,mild_pain,hypomotile,moderate,significant,less_1_liter,?,absent,distend_large,32,6.1,serosanguinous,4.3,lived,yes,7209,0,0,yes
yes,adult,533887,38.5,60,?,normal,normal,?,less_3_sec,?,hypermotile,none,?,?,?,?,?,33,53,clear,?,lived,yes,4111,0,0,no
yes,adult,5299603,38.3,60,16,cool,normal,normal_pink,less_3_sec,depressed,hypermotile,none,slight,more_1_liter,3,normal,distend_small,30,6,clear,3,lived,yes,31110,0,0,no
yes,adult,528742,37.1,40,8,?,normal,pale_cyanotic,less_3_sec,mild_pain,hypomotile,none,none,none,?,decreased,firm,23,6.7,serosanguinous,?,lived,yes,3133,0,0,yes
no,young,5287279,?,100,44,warm,normal,normal_pink,less_3_sec,severe_pain,hypermotile,none,?,?,?,normal,?,37,4.7,?,?,lived,no,7111,0,0,no
yes,adult,534788,38.2,48,18,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,moderate,none,more_1_liter,?,absent,?,48,74,clear,2,lived,yes,5111,0,0,no
yes,adult,529373,?,60,48,cool,reduced,pale_cyanotic,more_3_sec,severe_pain,hypomotile,severe,?,?,?,?,?,58,7.6,?,?,died,yes,3205,0,0,no
no,adult,534163,37.9,88,24,normal,normal,bright_pink,less_3_sec,depressed,normal,none,?,?,?,absent,normal,37,56,?,?,lived,no,0,0,0,no
no,adult,533697,38,44,12,cool,normal,normal_pink,?,?,hypermotile,slight,?,?,?,normal,?,42,64,?,?,lived,no,0,0,0,no
no,adult,529628,38.5,60,20,normal,normal,bright_red,more_3_sec,depressed,normal,none,slight,none,?,increased,firm,63,7.5,cloudy,2.3,euthanized,no,300,0,0,yes
no,adult,521399,38.5,96,36,cool,reduced,?,more_3_sec,depressed,absent,slight,none,more_1_liter,?,absent,distend_large,70,8.5,?,?,died,yes,1400,0,0,yes
no,adult,533885,38.3,60,20,normal,normal,normal_pink,more_3_sec,alert,hypomotile,none,?,?,?,decreased,?,34,66,?,?,lived,no,0,0,0,no
no,adult,534157,38.5,60,40,cool,normal,bright_pink,less_3_sec,depressed,hypermotile,slight,?,?,?,decreased,other,49,59,?,?,lived,no,0,0,0,no
yes,adult,528047,37.3,48,12,normal,?,pale_pink,less_3_sec,mild_pain,hypermotile,moderate,slight,none,?,decreased,firm,40,6.6,cloudy,?,lived,yes,3205,0,0,yes
yes,adult,528641,38.5,86,?,normal,normal,pale_pink,less_3_sec,severe_pain,absent,moderate,slight,none,?,decreased,distend_large,45,7.4,clear,3.4,died,yes,3209,0,0,yes
yes,adult,534073,37.5,48,40,?,?,?,?,?,?,?,none,none,?,?,distend_large,41,55,serosanguinous,2,euthanized,yes,2208,0,0,no
no,adult,529685,37.2,36,9,normal,normal,normal_pink,less_3_sec,depressed,hypomotile,none,slight,none,?,absent,normal,35,5.7,?,?,lived,no,31110,0,0,no
yes,adult,529528,39.2,?,23,cool,normal,pale_pink,less_3_sec,severe_pain,absent,slight,slight,?,?,?,?,36,6.6,clear,3,lived,yes,3115,0,0,yes
no,adult,528151,38.5,100,?,cool,reduced,bright_red,more_3_sec,severe_pain,hypomotile,severe,slight,none,?,absent,distend_large,?,?,?,?,euthanized,no,4124,0,0,no
yes,adult,535137,38.5,96,30,warm,reduced,pale_cyanotic,more_3_sec,severe_pain,absent,moderate,slight,none,?,decreased,distend_large,50,65,?,?,lived,yes,6111,3112,0,no
yes,adult,530297,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,45,8.7,?,?,died,yes,2208,0,0,no
yes,adult,535338,37.8,88,80,cool,reduced,bright_red,more_3_sec,?,hypomotile,moderate,slight,less_1_liter,?,absent,distend_large,64,89,?,?,euthanized,yes,3205,0,0,no
no,adult,534478,37.5,44,10,cool,normal,normal_pink,less_3_sec,mild_pain,hypermotile,slight,slight,?,?,decreased,firm,43,51,clear,1,lived,no,0,0,0,no
yes,adult,530401,37.9,68,20,?,normal,bright_pink,less_3_sec,depressed,absent,slight,?,?,?,normal,distend_large,45,4,serosanguinous,2.8,died,yes,5400,0,0,yes
yes,adult,529893,38,86,24,cold,reduced,pale_cyanotic,less_3_sec,depressed,absent,severe,none,none,?,absent,distend_large,45,5.5,clear,10.1,died,yes,3111,0,0,yes
yes,young,5294369,38.9,120,30,normal,reduced,bright_pink,more_3_sec,mild_pain,hypomotile,moderate,significant,none,3,?,?,47,6.3,clear,?,lived,no,2124,0,0,no
yes,adult,528183,37.6,45,12,cool,normal,pale_pink,less_3_sec,?,normal,slight,slight,none,?,normal,distend_small,39,7,cloudy,1.5,lived,yes,2112,0,0,yes
no,adult,529183,38.6,56,32,warm,normal,normal_pink,less_3_sec,alert,hypermotile,none,slight,?,?,increased,?,40,7,cloudy,2.1,lived,no,0,0,0,yes
yes,adult,529135,37.8,40,12,normal,normal,normal_pink,less_3_sec,alert,normal,none,slight,none,?,normal,other,38,7,?,?,lived,yes,3111,0,0,no
no,adult,528977,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,lived,no,0,0,0,no
yes,adult,5279441,38,76,18,?,?,?,more_3_sec,?,?,?,?,?,?,?,?,71,11,?,?,lived,yes,2209,0,0,yes
yes,adult,535240,38.1,40,36,normal,increased,bright_pink,less_3_sec,depressed,normal,?,?,?,?,?,?,?,?,?,?,euthanized,yes,3112,0,0,no
yes,adult,529736,?,52,28,cool,reduced,pale_cyanotic,less_3_sec,mild_pain,absent,moderate,slight,none,?,absent,distend_small,37,8.1,?,?,lived,yes,2111,0,0,no
yes,adult,535029,39.2,88,58,cold,absent,?,more_3_sec,extreme_pain,absent,?,?,?,?,?,?,?,?,cloudy,2,euthanized,no,3205,0,0,no
yes,adult,535031,38.5,92,40,cold,reduced,?,less_3_sec,depressed,absent,moderate,?,?,?,absent,?,46,67,cloudy,2,lived,yes,2208,0,0,no
yes,adult,528800,?,112,13,cold,absent,pale_cyanotic,less_3_sec,depressed,hypomotile,none,slight,none,4.5,absent,distend_small,60,6.3,serosanguinous,?,lived,yes,2205,0,0,yes
yes,adult,528178,37.7,66,12,normal,normal,pale_pink,less_3_sec,mild_pain,hypomotile,slight,slight,?,?,absent,distend_small,31.5,6.2,cloudy,1.6,lived,yes,2208,0,0,yes
yes,adult,535392,38.8,50,14,normal,normal,normal_pink,less_3_sec,mild_pain,hypermotile,none,none,none,?,decreased,distend_large,38,58,?,?,lived,yes,3111,0,0,no
no,adult,528931,38.4,54,24,normal,normal,normal_pink,less_3_sec,alert,hypomotile,none,slight,none,?,decreased,other,49,7.2,clear,8,lived,no,3111,0,0,yes
yes,adult,528503,39.2,120,20,cold,reduced,bright_red,more_3_sec,depressed,hypomotile,moderate,none,less_1_liter,?,?,distend_small,60,8.8,serosanguinous,?,died,yes,2205,0,0,no
yes,young,5289419,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,45,6.5,cloudy,?,lived,yes,9000,0,0,yes
yes,adult,535196,37.3,90,40,cool,?,dark_cyanotic,more_3_sec,extreme_pain,absent,moderate,slight,more_1_liter,?,normal,distend_large,65,50,serosanguinous,2,euthanized,yes,3205,0,0,no
yes,young,534597,38.5,120,70,?,?,?,?,?,hypermotile,?,slight,?,?,normal,?,35,54,clear,1,lived,yes,4205,3111,2209,no
yes,adult,534280,38.5,104,40,cool,reduced,?,less_3_sec,severe_pain,hypomotile,severe,?,?,?,?,?,?,?,?,?,lived,yes,2124,0,0,no
no,adult,530028,39.5,92,28,cool,reduced,dark_cyanotic,less_3_sec,extreme_pain,absent,none,?,less_1_liter,?,absent,?,72,6.4,?,3.6,died,no,3300,0,0,no
yes,adult,5262543,38.5,30,18,?,?,?,?,?,?,?,?,?,?,?,?,40,7.7,?,?,lived,yes,2113,0,0,no
yes,adult,530526,38.3,72,30,cold,reduced,pale_pink,more_3_sec,mild_pain,hypomotile,moderate,slight,none,?,decreased,distend_large,43,7,cloudy,3.9,lived,yes,3113,0,0,yes
no,adult,528729,37.5,48,30,cold,normal,pale_pink,less_3_sec,?,normal,none,none,none,?,normal,normal,48,8.6,?,?,lived,no,400,0,0,no
yes,adult,528469,38.1,52,24,normal,normal,bright_red,less_3_sec,severe_pain,hypomotile,none,slight,less_1_liter,7,normal,?,54,7.5,cloudy,2.6,died,yes,2206,0,0,yes
no,adult,528179,38.2,42,26,normal,normal,normal_pink,less_3_sec,mild_pain,hypermotile,slight,?,?,?,normal,?,36,6.9,?,?,lived,no,3111,0,0,no
no,adult,533750,37.9,54,42,warm,normal,bright_red,less_3_sec,mild_pain,hypermotile,none,?,none,?,?,other,47,54,serosanguinous,1,lived,no,0,0,0,no
no,adult,528702,36.1,88,?,cool,reduced,pale_pink,less_3_sec,mild_pain,hypomotile,slight,slight,less_1_liter,?,?,distend_small,45,7,serosanguinous,4.8,euthanized,yes,2209,0,0,yes
yes,adult,534183,38.1,70,22,?,normal,?,less_3_sec,extreme_pain,hypomotile,?,?,?,?,?,distend_large,36,65,?,?,euthanized,yes,3205,0,0,no
yes,adult,529160,38,90,30,cold,reduced,pale_cyanotic,more_3_sec,extreme_pain,absent,severe,?,?,?,absent,distend_large,55,6.1,?,?,died,yes,3205,0,0,no
yes,adult,529045,38.2,52,16,normal,normal,bright_pink,less_3_sec,alert,normal,none,none,none,?,normal,?,43,8.1,?,?,lived,no,0,0,0,yes
yes,adult,530354,?,36,32,normal,normal,pale_cyanotic,less_3_sec,extreme_pain,hypomotile,moderate,slight,less_1_liter,4,?,distend_small,41,5.9,?,?,died,yes,2205,0,0,no
yes,adult,5281091,38.4,92,20,normal,?,?,more_3_sec,?,hypomotile,moderate,?,?,?,normal,?,?,?,?,?,lived,yes,2208,0,0,yes
yes,young,5291409,38.2,124,88,normal,reduced,bright_pink,less_3_sec,depressed,hypomotile,severe,?,?,?,?,?,47,8,clear,?,lived,yes,9400,0,0,yes
no,adult,528904,?,96,?,cool,reduced,pale_pink,more_3_sec,extreme_pain,absent,severe,?,none,?,absent,distend_large,60,?,?,?,died,yes,41110,0,0,no
yes,adult,530366,37.6,68,32,cool,?,pale_pink,less_3_sec,severe_pain,normal,severe,slight,more_1_liter,6.5,normal,distend_large,47,7.2,clear,?,lived,yes,3209,0,0,no
yes,adult,530170,38.1,88,24,cool,reduced,pale_cyanotic,less_3_sec,extreme_pain,absent,moderate,slight,none,?,decreased,distend_small,41,4.6,?,?,died,yes,2209,0,0,no
yes,adult,527709,38,108,60,warm,reduced,pale_cyanotic,less_3_sec,severe_pain,hypomotile,moderate,slight,?,?,decreased,distend_small,?,?,serosanguinous,?,lived,yes,2205,0,0,no
no,adult,528169,38.2,48,?,warm,?,normal_pink,more_3_sec,mild_pain,hypomotile,none,slight,none,?,?,other,34,6.6,?,?,lived,no,3111,0,0,no
yes,adult,535043,39.3,100,51,cold,absent,dark_cyanotic,less_3_sec,depressed,absent,none,none,less_1_liter,2,?,distend_small,66,13,serosanguinous,2,euthanized,yes,2113,0,0,no
no,adult,527940,36.6,42,18,cool,reduced,bright_pink,less_3_sec,alert,absent,none,none,none,?,?,distend_large,52,7.1,?,?,died,yes,5111,0,0,no
yes,young,5291719,38.8,124,36,cool,normal,bright_pink,less_3_sec,depressed,hypomotile,severe,none,none,?,absent,distend_small,50,7.6,serosanguinous,?,died,yes,2208,0,0,yes
no,adult,530561,?,112,24,cool,reduced,pale_cyanotic,more_3_sec,extreme_pain,absent,slight,?,?,?,absent,?,40,5.3,serosanguinous,2.6,lived,no,400,0,0,yes
yes,adult,533738,?,80,?,cool,reduced,pale_pink,less_3_sec,severe_pain,absent,severe,?,?,?,absent,distend_large,43,70,?,?,lived,yes,3111,0,0,no
yes,young,5294539,38.8,184,84,normal,?,normal_pink,less_3_sec,severe_pain,hypermotile,moderate,?,?,?,increased,?,33,3.3,?,?,died,yes,7111,0,0,no
yes,adult,533871,37.5,72,?,warm,normal,normal_pink,less_3_sec,depressed,hypermotile,none,none,none,?,normal,?,35,65,cloudy,2,euthanized,yes,7209,0,0,no
yes,adult,529812,38.7,96,28,cool,reduced,pale_cyanotic,less_3_sec,?,absent,?,?,less_1_liter,7.5,?,?,64,9,?,?,died,yes,2205,0,0,yes
no,adult,534719,37.5,52,12,normal,normal,normal_pink,less_3_sec,depressed,hypomotile,slight,slight,none,?,decreased,distend_large,36,61,clear,1,lived,no,0,0,0,no
yes,adult,527734,40.8,72,42,cool,reduced,normal_pink,less_3_sec,depressed,hypomotile,none,slight,none,?,?,?,54,7.4,serosanguinous,?,died,yes,11400,0,0,yes
no,adult,534933,38,40,25,?,normal,normal_pink,less_3_sec,severe_pain,hypomotile,slight,none,none,?,absent,?,37,69,?,?,lived,no,0,0,0,no
no,adult,529296,38.4,48,16,warm,normal,normal_pink,less_3_sec,alert,?,slight,slight,none,?,?,other,39,6.5,?,?,lived,no,3111,0,0,yes
no,young,5305629,38.6,88,28,?,?,?,?,?,?,?,?,?,?,?,?,35,5.9,?,?,lived,no,0,0,0,no
yes,adult,528743,37.1,75,36,?,?,pale_pink,more_3_sec,severe_pain,absent,slight,slight,less_1_liter,5,absent,distend_small,48,7.4,serosanguinous,3.2,died,yes,12208,0,0,yes
yes,adult,530478,38.3,44,21,cool,normal,bright_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,none,?,normal,distend_large,44,6.5,cloudy,4.4,lived,yes,2209,0,0,yes
no,adult,528590,?,56,68,cool,normal,normal_pink,less_3_sec,mild_pain,hypomotile,none,slight,none,?,normal,?,40,6,?,?,euthanized,yes,5206,0,0,no
no,adult,529865,38.6,68,20,warm,normal,pale_pink,less_3_sec,mild_pain,hypomotile,slight,none,none,?,normal,distend_large,38,6.5,clear,?,lived,no,5124,0,0,yes
no,adult,527829,38.3,54,18,cool,normal,bright_pink,less_3_sec,depressed,hypomotile,slight,?,less_1_liter,5.4,?,distend_small,44,7.2,serosanguinous,?,lived,no,2124,0,0,yes
yes,adult,534403,38.2,42,20,?,?,normal_pink,less_3_sec,?,hypomotile,?,?,?,?,decreased,?,47,60,?,?,lived,no,0,0,0,no
yes,adult,527883,39.3,64,90,warm,reduced,normal_pink,less_3_sec,?,hypomotile,none,none,more_1_liter,6.5,normal,distend_large,39,6.7,?,?,lived,yes,31110,0,0,no
yes,adult,528570,37.5,60,50,cool,reduced,normal_pink,less_3_sec,mild_pain,hypomotile,slight,slight,more_1_liter,3.5,decreased,distend_small,35,6.5,?,?,died,yes,2209,0,0,no
yes,adult,534626,37.7,80,?,cool,reduced,dark_cyanotic,less_3_sec,extreme_pain,absent,none,slight,less_1_liter,?,decreased,normal,50,55,serosanguinous,2,lived,yes,4206,0,0,no
yes,adult,529796,?,100,30,cool,reduced,pale_cyanotic,more_3_sec,extreme_pain,absent,severe,significant,less_1_liter,?,absent,distend_small,52,6.6,?,?,lived,yes,2124,0,0,no
yes,adult,528638,37.7,120,28,cool,reduced,pale_pink,less_3_sec,extreme_pain,hypomotile,moderate,none,none,?,?,?,65,7,serosanguinous,?,died,yes,4205,0,0,yes
yes,adult,534624,?,76,?,?,reduced,?,?,?,absent,severe,?,?,?,?,distend_large,?,?,?,?,euthanized,yes,11124,0,0,no
yes,young,5297159,38.8,150,50,normal,reduced,dark_cyanotic,more_3_sec,extreme_pain,hypomotile,slight,none,none,?,?,?,50,6.2,?,?,died,yes,4207,0,0,no
yes,adult,534787,38,36,16,cool,normal,normal_pink,less_3_sec,severe_pain,normal,slight,significant,less_1_liter,2,decreased,?,37,75,cloudy,1,euthanized,no,3111,0,0,no
no,adult,528620,36.9,50,40,warm,reduced,pale_pink,less_3_sec,alert,hypomotile,slight,significant,none,7,?,?,37.5,6.5,?,?,lived,no,3111,0,0,no
no,adult,528019,37.8,40,16,normal,normal,normal_pink,less_3_sec,alert,hypermotile,none,?,?,?,normal,normal,37,6.8,?,?,lived,no,0,0,0,no
no,adult,529172,38.2,56,40,cold,reduced,normal_pink,less_3_sec,depressed,absent,moderate,slight,more_1_liter,7.5,?,?,47,7.2,clear,2.5,lived,no,8300,0,0,yes
yes,adult,534644,38.6,48,12,?,?,normal_pink,?,alert,hypermotile,?,?,?,?,?,?,36,67,?,?,lived,no,0,0,0,no
no,adult,530624,40,78,?,cool,reduced,bright_red,less_3_sec,depressed,hypomotile,none,none,none,?,absent,normal,66,6.5,?,?,died,yes,8400,0,0,yes
yes,adult,527544,?,70,16,cool,absent,bright_red,more_3_sec,depressed,hypomotile,slight,slight,none,?,absent,distend_large,60,7.5,?,?,died,yes,1400,0,0,no
yes,adult,527758,38.2,72,18,?,?,?,?,?,?,?,?,?,?,?,?,35,6.4,?,?,lived,yes,3124,0,0,no
no,adult,530439,38.5,54,?,normal,normal,normal_pink,less_3_sec,mild_pain,hypermotile,none,slight,none,?,normal,?,40,6.8,cloudy,7,lived,no,0,0,0,yes
yes,adult,5283431,38.5,66,24,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,none,slight,none,?,absent,distend_large,40,6.7,clear,?,lived,yes,31110,0,0,yes
no,adult,5275212,37.8,82,12,cool,normal,normal_pink,more_3_sec,severe_pain,?,moderate,none,less_1_liter,?,?,?,50,7,?,?,euthanized,yes,2205,0,0,no
no,young,5305129,39.5,84,30,?,?,?,less_3_sec,?,?,?,?,?,?,?,?,28,5,?,?,lived,no,0,0,0,no
yes,adult,529428,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,lived,yes,2124,0,0,no
yes,adult,529126,38,50,36,?,normal,normal_pink,less_3_sec,mild_pain,normal,slight,?,?,?,decreased,?,39,6.6,clear,5.3,lived,yes,8400,0,0,yes
no,adult,535054,38.6,45,16,warm,normal,bright_pink,less_3_sec,alert,hypermotile,?,?,?,?,normal,normal,43,58,?,?,lived,no,0,0,0,no
yes,adult,528890,38.9,80,44,cool,reduced,pale_pink,less_3_sec,depressed,hypomotile,moderate,slight,more_1_liter,7,decreased,normal,54,6.5,serosanguinous,?,died,yes,7111,0,0,no
yes,adult,530034,37,66,20,normal,reduced,bright_pink,less_3_sec,severe_pain,hypomotile,moderate,none,?,?,normal,distend_large,35,6.9,cloudy,?,died,yes,31110,0,0,no
yes,adult,534004,?,78,24,cool,reduced,pale_pink,less_3_sec,?,hypomotile,?,slight,none,?,?,distend_small,43,62,?,2,euthanized,no,2209,0,0,no
no,adult,533902,38.5,40,16,normal,normal,normal_pink,less_3_sec,depressed,hypermotile,none,?,?,?,decreased,other,37,67,?,?,lived,no,0,0,0,no
yes,adult,533886,?,120,70,cold,?,pale_cyanotic,more_3_sec,depressed,absent,?,?,?,?,?,distend_large,55,65,?,?,euthanized,no,3205,0,0,no
